Customer ID,Date of Purchase,Date of Shipping,Order ID,Product Name,Ship Mode,SKU,Discount,Quantity,Total Price
ED714,2022-09-05,2022-09-09,LA-2021-130785,K-Invert 2K,Standard Class,KI2K,0.07,4,11383.2
IH716,2022-03-24,2022-03-27,VT-2021-118423,K-Invert 4K,First Class,KI4K,0.0,3,18360.0
GF707,2021-05-26,2021-05-30,WA-2020-156349,K-Invert 4K,Standard Class,KI4K,0.13,2,10648.8
RA868,2024-12-19,2024-12-23,OH-2023-116946,K-Invert 7K,Standard Class,KI7K,0.53,7,35235.9
DD311,2021-06-14,2021-06-20,TN-2020-140487,K-Invert 9K,Standard Class,KI9K,0.0,3,59400.0
RW653,2023-11-05,2023-11-09,OK-2022-131611,K-Invert 13K,Standard Class,KI13K,0.02,7,196196.0
DD311,2024-11-24,2024-12-01,TN-2023-168641,K-Invert 13K,Standard Class,KI13K,0.12,2,50336.0
BH538,2024-06-29,2024-06-30,GA-2023-137449,K-Invert 13K,First Class,KI13K,0.15,3,72930.0
GG466,2021-09-20,2021-09-24,MI-2020-166744,K-Invert 20K,Standard Class,KI20K,0.32,3,89760.0
KK578,2021-04-12,2021-04-17,OH-2020-154599,K-Invert 20K,Standard Class,KI20K,0.04,3,126720.0
SB279,2023-10-17,2023-10-20,MS-2022-152688,K-Invert 20K,First Class,KI20K,0.1,1,39600.0
GG466,2022-11-20,2022-11-27,MI-2021-163965,K-Invert 20K,Standard Class,KI20K,0.72,3,36960.0
SR304,2024-12-09,2024-12-11,MO-2023-141201,K-Invert 2K,Second Class,KI2K,0.01,3,9088.2
QM203,2024-02-17,2024-02-19,KY-2023-159149,K-Invert 7K,First Class,KI7K,0.11,1,9531.9
MR366,2023-04-08,2023-04-11,MI-2022-106600,K-Invert 9K,First Class,KI9K,0.33,5,66330.0
MF838,2022-07-14,2022-07-19,NE-2021-143364,K-Invert 9K,Second Class,KI9K,0.0,6,118800.0
RH129,2023-11-24,2023-11-30,AR-2022-123533,K-Invert 13K,Standard Class,KI13K,0.07,5,132990.0
GO720,2024-08-25,2024-08-29,UT-2023-159793,K-Invert 20K,Standard Class,KI20K,0.09,2,80080.0
KS246,2024-09-23,2024-09-29,NV-2023-132059,K-Invert 2K,Standard Class,KI2K,0.22,2,4773.6
RN447,2024-02-06,2024-02-11,AK-2023-115105,K-Invert 2K,Standard Class,KI2K,0.03,1,2968.2
KP976,2024-03-27,2024-04-01,HI-2023-144491,K-Invert 2K,Standard Class,KI2K,0.19,5,12393.0
LR311,2024-05-30,2024-06-03,TN-2023-142461,K-Invert 2K,Second Class,KI2K,0.13,1,2662.2
BL360,2024-09-19,2024-09-25,WI-2023-143378,K-Invert 7K,Standard Class,KI7K,0.43,2,12209.4
CA368,2023-03-19,2023-03-21,GA-2022-106383,K-Invert 9K,Second Class,KI9K,0.66,1,6732.0
KH106,2023-11-26,2023-11-30,AZ-2022-107104,K-Invert 20K,Standard Class,KI20K,0.04,8,337920.0
EN774,2022-12-03,2022-12-07,AZ-2021-145422,K-Invert 20K,Standard Class,KI20K,0.01,3,130680.0
RW653,2024-06-25,2024-06-27,OK-2023-116127,K-Invert 20K,Second Class,KI20K,0.05,1,41800.0
TP113,2023-04-08,2023-04-13,MS-2022-138520,K-Invert 2K,Standard Class,KI2K,0.04,6,17625.6
AW191,2023-01-08,2023-01-12,NE-2022-100461,K-Invert 4K,Standard Class,KI4K,0.11,6,32680.8
ED714,2023-10-21,2023-10-21,LA-2022-155516,K-Invert 4K,Same Day,KI4K,0.02,4,23990.4
GF707,2022-07-20,2022-07-27,WA-2021-122784,K-Invert 4K,Standard Class,KI4K,0.18,5,25092.0
JR394,2024-07-17,2024-07-19,UT-2023-142342,K-Invert 9K,Second Class,KI9K,0.1,5,89100.0
SB279,2024-06-03,2024-06-10,MS-2023-140872,K-Invert 13K,Standard Class,KI13K,0.13,2,49764.0
CL177,2023-12-05,2023-12-07,UT-2022-143749,K-Invert 20K,First Class,KI20K,0.03,1,42680.0
MR366,2024-08-03,2024-08-04,MI-2023-165386,K-Invert 4K,First Class,KI4K,0.76,2,2937.6
AW191,2024-10-27,2024-10-28,NE-2023-130764,K-Invert 4K,First Class,KI4K,0.23,5,23562.0
ED714,2022-09-05,2022-09-09,LA-2021-130785,K-Invert 7K,Standard Class,KI7K,0.05,3,30523.5
KS246,2021-11-25,2021-11-29,NV-2020-119151,K-Invert 7K,Second Class,KI7K,0.1,3,28917.0
OM513,2023-08-28,2023-08-31,AR-2022-145303,K-Invert 7K,First Class,KI7K,0.1,2,19278.0
