Grade,LetterGrade
6.383186788693007,F
32.62396961260096,F
30.704342327311984,F
74.83009483100177,C
80.2329393469065,B
68.58390356888621,C
26.44538055974943,F
1.9860515752769259,F
86.62579493364942,A
62.058606194569855,D
74.98732142385602,C
72.19990582817329,C
68.38422541376376,C
72.50947642578718,C
69.9253977926046,C
37.71404869502932,F
35.42993398282268,F
9.422108514380634,F
38.91099380310572,F
4.500744835211945,F
93.3687110203566,A
64.0327051798772,D
3.266159082617248,F
50.3670003036388,F
84.22865314574548,B
7.694150021017487,F
79.16542002375468,B
59.95650949918561,D
40.73319338785101,F
34.715790475367434,F
78.11344563257056,B
3.9868764160756576,F
73.57780028444044,C
68.7220124151375,C
19.318439605020288,F
34.27585059412982,F
18.44442777057037,F
56.15409760187594,D
50.437826895054464,F
3.782705352922755,F
15.507752170445933,F
97.2636006263172,A
20.398345345002355,F
3.3573817965000474,F
53.60835474063755,F
37.78774795728008,F
14.446695282547918,F
21.746861831693277,F
13.706334515433038,F
50.752353079478276,F
26.678204672169326,F
53.63835996406882,F
96.97336260799922,A
66.71382793389995,C
97.93352018903954,A
49.939915303729286,F
25.41203013821587,F
97.1633187441776,A
61.77155201230262,D
9.638734378610259,F
28.632195484348056,F
52.46170172504537,F
57.35299275547913,D
36.23418588550319,F
88.81155433822386,A
36.74474182131545,F
1.1884656723369358,F
63.12813451767029,D
34.94224465542612,F
97.30903196294733,A
72.03287716174806,C
10.749331450395339,F
59.175755268807926,D
65.81394453535646,D
16.578462454665498,F
73.04157412364127,C
17.083908866594776,F
64.17680023465604,D
88.68014411665082,A
86.05121202658978,A
79.18834694500184,B
29.868987206951523,F
53.77023947946369,F
1.517089823984985,F
83.32429555583545,B
60.95544417779757,D
38.4730969522876,F
40.727373051544426,F
42.402099042132605,F
98.09710715689619,A
3.38314694193228,F
4.321900265101986,F
50.867231564388405,F
55.284457571776954,F
90.78841057127852,A
46.59458764752982,F
4.838809010613055,F
31.777635133839656,F
44.727309156576375,F
56.50956250530843,D
95.6091565327054,A
20.74512408301653,F
33.73597410055843,F
36.34444549559498,F
12.936499684766112,F
74.81989307278111,C
96.96091467613364,A
31.7493894455532,F
35.84854766247509,F
36.34595202944906,F
40.933229818643014,F
90.39891351856103,A
83.05179599884566,B
45.62742331269492,F
83.5192170707004,B
51.21448951331722,F
73.500257191464,C
35.62825610009922,F
80.26723866487451,B
75.09425944348453,C
65.24389846553667,D
57.822394909259046,D
25.4190084995506,F
59.672845423093314,D
55.246058030169905,F
4.252505265567141,F
48.300139272058885,F
78.46948052299383,B
79.24469131856074,B
39.669373068302725,F
58.05995719332958,D
70.18224321479688,C
26.574029304799595,F
17.536883336433473,F
40.36877353324104,F
29.238843997047304,F
68.27123982941036,C
52.582376924095755,F
15.389683656136022,F
89.06317624515408,A
64.04105959454347,D
48.717888627416706,F
25.71844612091234,F
93.11997619156409,A
42.185944127033224,F
68.78408167151831,C
52.87663121963186,F
82.3903326431856,B
52.95187401587245,F
18.513675996304624,F
1.2272926567397202,F
60.66378113066659,D
84.96796429475123,B
89.7171232290659,A
52.67364910735514,F
77.44940398583526,B
8.683943039628794,F
46.339294997539746,F
87.53319097069455,A
